id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Velvet Harbor,Harbor Lights,folk,reflective,0.51,96,0.67,0.57,0.77
12,Golden Hour Drive,Marina Vale,disco,joyful,0.84,122,0.82,0.84,0.09
13,Midland Moonlight,Westfield Lane,country,nostalgic,0.58,104,0.72,0.65,0.74
14,Neon Boulevard,The Velvet Frames,hip hop,confident,0.89,100,0.63,0.85,0.12
15,Quiet Cathedral,Aria Vale,classical,serene,0.22,72,0.55,0.28,0.95
16,Sunlit Echoes,Solstice Choir,reggae,carefree,0.67,92,0.78,0.74,0.38
17,After the Rain,Elena Cruz,rnb,romantic,0.54,86,0.61,0.71,0.48
18,Electric Harbor,Northline,house,energetic,0.87,128,0.68,0.86,0.06
19,Winter Orchard,Juniper & Co.,folk,bittersweet,0.46,84,0.53,0.49,0.81
20,Golden Thread,Kaia Rivers,latin,hopeful,0.73,112,0.79,0.76,0.21
